"~id","~labels","quantities::NetVolume::kind","quantities::Length::kind","quantities::Width::value","quantities::NetSideArea::value","name","quantities::NetVolume::value","id","quantities::Width::kind","quantities::NetSideArea::kind","quantities::Length::value","properties::LoadBearing::kind","properties::Status::kind","properties::IsExternal::kind","properties::Status::enumeration_name","properties::LoadBearing::value","properties::IsExternal::value","properties::Status::domain","properties::Status::value","quantities::CrossSectionArea::kind","quantities::CrossSectionArea::value","predefined_type","code","scheme_id","uri","properties::ConstructionMethod::kind","properties::ConstructionMethod::value"
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:16","IfcFootingType;TYPE",,,,,"house - foundation",,"39zsrh6sTE69jN0aDa_2y3",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:17","IfcWallType;TYPE",,,,,"house - outer wall - house back",,"0_8SeeJGr948J4bU1RPXce",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:18","IfcWallType;TYPE",,,,,"house - outer wall - house front",,"0KOC4PbVP4CgUUcPIljzX8",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:19","IfcWallType;TYPE",,,,,"house - outer wall - house front right",,"2JyKYAYaHEEwkOiNxZBS0J",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:20","IfcChimneyType;TYPE",,,,,"house - chimney",,"10FwQBcdzD9ve3W6PvBTti",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:21","IfcWallType;TYPE",,,,,"house - inner wall",,"3sv$5PJEr5hP_mSgN$A$GJ",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:22","IfcRoofType;TYPE",,,,,"house - roof",,"0GE$iSXKL8jAEeHi$mszPq",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:23","IfcBeamType;TYPE",,,,,"house - girder",,"1_UeVn6yDFiQNhUkRsBNZI",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:24","IfcDiscreteAccessoryType;TYPE",,,,,"beam shoe",,"1i7uuLYVf6ShdGFfCgAhuD",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:25","IfcMaterial;MATERIAL",,,,,"concrete_reinforced_in-situ",,"IfcMaterial:56",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:26","IfcMaterial;MATERIAL",,,,,"stone_sand-lime",,"IfcMaterial:81",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:27","IfcMaterial;MATERIAL",,,,,"wood_spruce_beam",,"IfcMaterial:218",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:28","IfcMaterial;MATERIAL",,,,,"metal_steel-galvanized",,"IfcMaterial:347",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:29","IfcBuildingStorey;SPATIAL",,,,,"00 groundfloor",,"1Ano2ZUxnEIvVQ_beukl8b",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:30","IfcBuilding;SPATIAL",,,,,"Single-family house",,"0c$N1CTon2BB2Sp89385G8",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:31","IfcProject;PROJECT",,,,,"ifc silly sample scene - project",,"2Ndyd$OSX7s9A04nc4lyye",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:32","IfcSite;SPATIAL",,,,,"environment - site",,"23sFQGRy90RxVbRHD9iSE2",,,,,,,,,,,,,,,,,,,
"4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:33","IfcSite;SPATIAL",,,,,"house - site",,"1Pbuu0tu59NfhrTsztVBK1",,,,,,,,,,,,,,,,,,,
